,id,x,y,rw,rh,iw,ih,size,imgpath,cy
0,c12_134,578,948,11,19,25,15,209,./img/img_c12_134.jpg,948.0
0,c12_132,826,967,43,19,19,47,817,./img/img_c12_132.jpg,967.0
0,c12_130,725,968,50,20,20,54,1000,./img/img_c12_130.jpg,968.0
0,c12_128,599,969,42,20,20,46,840,./img/img_c12_128.jpg,969.0
0,c12_124,578,970,11,19,25,15,209,./img/img_c12_124.jpg,970.0
0,c12_127,499,974,11,12,16,15,132,./img/img_c12_127.jpg,974.0
0,c12_133,853,978,12,5,0,0,60,,978.0
0,c12_129,626,979,12,5,0,0,60,,979.0
0,c12_123,827,989,42,20,20,46,840,./img/img_c12_123.jpg,989.0
0,c12_122,734,990,42,20,20,46,840,./img/img_c12_122.jpg,990.0
0,c12_121,601,992,40,19,19,44,760,./img/img_c12_121.jpg,992.0
0,c12_118,475,993,91,21,21,95,1911,./img/img_c12_118.jpg,993.0
0,c12_117,578,993,11,19,25,15,209,./img/img_c12_117.jpg,993.0
0,c12_120,499,997,11,12,16,15,132,./img/img_c12_120.jpg,997.0
0,c12_115,827,1012,42,20,20,46,840,./img/img_c12_115.jpg,1012.0
0,c12_113,725,1013,51,20,20,55,1020,./img/img_c12_113.jpg,1013.0
0,c12_111,474,1015,83,20,20,87,1660,./img/img_c12_111.jpg,1015.0
0,c12_110,568,1015,21,19,21,25,399,./img/img_c12_110.jpg,1015.0
0,c12_109,601,1015,40,19,19,44,760,./img/img_c12_109.jpg,1015.0
0,c12_108,734,1035,42,21,23,46,882,./img/img_c12_108.jpg,1035.0
0,c12_107,827,1035,43,20,20,47,860,./img/img_c12_107.jpg,1035.0
0,c12_105,601,1037,40,20,22,44,800,./img/img_c12_105.jpg,1037.0
0,c12_103,473,1038,84,20,20,88,1680,./img/img_c12_103.jpg,1038.0
0,c12_102,568,1038,21,19,21,25,399,./img/img_c12_102.jpg,1038.0
0,c12_106,626,1047,12,5,0,0,60,,1047.0
0,c12_99,662,1058,60,21,21,64,1260,./img/img_c12_99.jpg,1058.0
0,c12_94,502,1089,388,7,0,0,2716,,1089.0
0,c12_91,807,1103,83,20,20,87,1660,./img/img_c12_91.jpg,1103.0
0,c12_93,859,1112,16,6,0,0,96,,1112.0
0,c12_92,828,1113,19,5,0,0,95,,1113.0
0,c12_87,777,1126,39,20,22,43,780,./img/img_c12_87.jpg,1126.0
0,c12_86,883,1126,6,19,0,0,114,,1126.0
0,c12_84,473,1129,137,21,21,141,2877,./img/img_c12_84.jpg,1129.0
0,c12_83,99,1138,4,8,0,0,32,,1138.0
0,c12_82,473,1152,61,21,21,65,1281,./img/img_c12_82.jpg,1152.0
0,c12_81,99,1153,11,5,0,0,55,,1153.0
0,c12_79,704,1196,43,20,20,47,860,./img/img_c12_79.jpg,1196.0
0,c12_78,631,1197,63,20,20,67,1260,./img/img_c12_78.jpg,1197.0
0,c12_77,631,1243,84,20,20,88,1680,./img/img_c12_77.jpg,1243.0
0,c12_75,473,1291,43,21,21,47,903,./img/img_c12_75.jpg,1291.0
0,c12_74,527,1293,18,18,22,22,324,./img/img_c12_74.jpg,1293.0
0,c12_73,831,1310,62,21,21,66,1302,./img/img_c12_73.jpg,1310.0
0,c12_71,778,1311,43,20,20,47,860,./img/img_c12_71.jpg,1311.0
0,c12_69,526,1313,51,21,21,55,1071,./img/img_c12_69.jpg,1313.0
0,c12_65,526,1336,43,21,21,47,903,./img/img_c12_65.jpg,1336.0
0,c12_64,579,1336,40,20,22,44,800,./img/img_c12_64.jpg,1336.0
0,c12_62,852,1357,43,20,20,47,860,./img/img_c12_62.jpg,1357.0
0,c12_61,474,1361,40,20,22,44,800,./img/img_c12_61.jpg,1361.0
0,c12_55,474,1384,30,20,22,34,600,./img/img_c12_55.jpg,1384.0
0,c12_60,866,1386,16,8,0,0,128,,1386.0
0,c12_59,835,1387,15,7,0,0,105,,1387.0
0,c12_58,783,1393,14,5,0,0,70,,1393.0
0,c12_54,832,1403,63,21,21,67,1323,./img/img_c12_54.jpg,1403.0
0,c12_53,779,1404,40,21,23,44,840,./img/img_c12_53.jpg,1404.0
0,c12_52,549,1406,42,21,23,46,882,./img/img_c12_52.jpg,1406.0
0,c12_50,475,1407,39,21,23,43,819,./img/img_c12_50.jpg,1407.0
0,c12_48,800,1427,96,21,21,100,2016,./img/img_c12_48.jpg,1427.0
0,c12_47,475,1430,81,21,21,85,1701,./img/img_c12_47.jpg,1430.0
0,c12_46,832,1450,64,21,21,68,1344,./img/img_c12_46.jpg,1450.0
0,c12_44,569,1452,51,21,21,55,1071,./img/img_c12_44.jpg,1452.0
0,c12_38,834,1498,63,20,20,67,1260,./img/img_c12_38.jpg,1498.0
0,c12_34,473,1550,43,20,20,47,860,./img/img_c12_34.jpg,1550.0
0,c12_30,675,1571,21,21,25,25,441,./img/img_c12_30.jpg,1571.0
0,c12_23,723,1667,53,21,21,57,1113,./img/img_c12_23.jpg,1667.0
0,c12_24,757,1670,12,5,0,0,60,,1670.0
0,c12_27,620,1675,13,6,0,0,78,,1675.0
0,c12_26,695,1679,12,6,0,0,72,,1679.0
0,c12_20,829,1691,22,21,23,26,462,./img/img_c12_20.jpg,1691.0
0,c12_14,593,1693,44,21,21,48,924,./img/img_c12_14.jpg,1693.0
0,c12_19,693,1695,15,5,0,0,75,,1695.0
0,c12_22,785,1701,20,6,0,0,120,,1701.0
0,c12_15,600,1706,12,5,0,0,60,,1706.0
0,c12_11,728,1773,13,5,0,0,65,,1773.0
0,c12_10,707,1775,12,5,0,0,60,,1775.0
0,c12_6,857,1810,64,21,21,68,1344,./img/img_c12_6.jpg,1810.0
0,c12_5,728,1811,54,21,21,58,1134,./img/img_c12_5.jpg,1811.0
0,c12_1,695,1812,22,20,22,26,440,./img/img_c12_1.jpg,1812.0
0,c12_0,480,1813,65,21,21,69,1365,./img/img_c12_0.jpg,1813.0
