,id,uid,x,y,rw,rh,iw,ih,size,imgpath
0,cv1_333,333,519,106,31,13,13,35,403,./img/img_cv1_333.jpg
0,cv1_334,334,771,104,11,3,0,0,33,
0,cv1_335,335,770,101,11,4,0,0,44,
0,cv1_336,336,747,100,23,6,0,0,138,
0,cv1_337,337,698,98,22,4,0,0,88,
0,cv1_338,338,369,98,40,23,25,44,920,./img/img_cv1_338.jpg
0,cv1_339,339,589,95,12,4,0,0,48,
0,cv1_340,340,786,93,11,3,0,0,33,
0,cv1_341,341,622,93,22,24,28,26,528,./img/img_cv1_341.jpg
0,cv1_342,342,519,93,31,11,11,35,341,./img/img_cv1_342.jpg
0,cv1_343,343,645,92,52,25,25,56,1300,./img/img_cv1_343.jpg
0,cv1_344,344,593,92,22,4,0,0,88,
0,cv1_345,345,554,92,66,26,26,70,1716,./img/img_cv1_345.jpg
0,cv1_346,346,703,91,76,26,26,80,1976,./img/img_cv1_346.jpg
0,cv1_347,347,351,86,53,47,49,57,2491,./img/img_cv1_347.jpg
0,cv1_348,348,404,85,50,45,47,54,2250,./img/img_cv1_348.jpg
0,cv1_349,349,449,84,47,48,52,51,2256,./img/img_cv1_349.jpg
0,cv1_350,350,46,47,3,2,0,0,6,
0,cv1_351,351,215,12,717,1988,0,0,1425396,
0,cv1_352,352,482,3,1,1,0,0,1,
